PC1,PC2,Probability,Free_Energy_kJ_mol,Sampled
-3.5308970000000004,-3.82039705,0.0,,False
-3.5308970000000004,-3.74333115,0.0,,False
-3.5308970000000004,-3.66626525,0.0,,False
-3.5308970000000004,-3.58919935,0.0,,False
-3.5308970000000004,-3.51213345,0.0,,False
-3.5308970000000004,-3.43506755,0.0,,False
-3.5308970000000004,-3.35800165,0.0,,False
-3.5308970000000004,-3.28093575,0.0,,False
-3.5308970000000004,-3.20386985,0.0,,False
-3.5308970000000004,-3.1268039499999998,0.0,,False
-3.5308970000000004,-3.0497380499999998,0.0,,False
-3.5308970000000004,-2.9726721499999997,0.0,,False
-3.5308970000000004,-2.8956062499999997,0.0,,False
-3.5308970000000004,-2.8185403499999997,0.0,,False
-3.5308970000000004,-2.7414744499999997,0.0,,False
-3.5308970000000004,-2.6644085499999997,0.0,,False
-3.5308970000000004,-2.5873426499999996,0.0,,False
-3.5308970000000004,-2.5102767499999996,0.0,,False
-3.5308970000000004,-2.4332108499999996,0.0,,False
-3.5308970000000004,-2.3561449499999996,0.0,,False
-3.5308970000000004,-2.2790790499999996,0.0,,False
-3.5308970000000004,-2.2020131499999995,0.0,,False
-3.5308970000000004,-2.1249472499999995,0.0,,False
-3.5308970000000004,-2.04788135,0.0,,False
-3.5308970000000004,-1.97081545,0.0,,False
-3.5308970000000004,-1.89374955,0.0,,False
-3.5308970000000004,-1.8166836499999999,0.0,,False
-3.5308970000000004,-1.7396177499999999,0.0,,False
-3.5308970000000004,-1.6625518499999998,0.0,,False
-3.5308970000000004,-1.5854859499999998,0.0,,False
-3.5308970000000004,-1.5084200499999998,0.0,,False
-3.5308970000000004,-1.4313541499999998,0.0,,False
-3.5308970000000004,-1.3542882499999997,0.0,,False
-3.5308970000000004,-1.2772223499999997,0.0,,False
-3.5308970000000004,-1.2001564499999997,0.0,,False
-3.5308970000000004,-1.1230905499999997,0.0,,False
-3.5308970000000004,-1.0460246499999997,0.0,,False
-3.5308970000000004,-0.9689587499999996,0.0,,False
-3.5308970000000004,-0.8918928499999996,0.0,,False
-3.5308970000000004,-0.8148269499999996,0.0,,False
-3.5308970000000004,-0.7377610499999996,0.0,,False
-3.5308970000000004,-0.6606951499999996,0.0,,False
-3.5308970000000004,-0.5836292499999995,0.0,,False
-3.5308970000000004,-0.5065633499999995,0.0,,False
-3.5308970000000004,-0.4294974499999995,0.0,,False
-3.5308970000000004,-0.3524315499999995,0.0,,False
-3.5308970000000004,-0.27536564999999946,0.0,,False
-3.5308970000000004,-0.19829974999999966,0.0,,False
-3.5308970000000004,-0.12123384999999987,0.0,,False
-3.5308970000000004,-0.044167949999999845,0.0,,False
-3.5308970000000004,0.032897950000000176,0.0,,False
-3.5308970000000004,0.1099638500000002,0.0,,False
-3.5308970000000004,0.18702975000000022,0.0,,False
-3.5308970000000004,0.26409565000000024,0.0,,False
-3.5308970000000004,0.34116155000000026,2.815545173390561e-09,32.43237818129086,False
-3.5308970000000004,0.4182274500000003,1.1358719923252478e-06,17.46634546889086,False
-3.5308970000000004,0.4952933500000003,8.393021872495381e-06,12.477667898090859,True
-3.5308970000000004,0.5723592500000003,1.1358719923252478e-06,17.46634546889086,False
-3.5308970000000004,0.6494251500000003,2.815545173390561e-09,32.43237818129086,False
-3.5308970000000004,0.7264910500000004,0.0,,False
-3.5308970000000004,0.8035569500000004,0.0,,False
-3.5308970000000004,0.8806228500000004,2.808583391196284e-09,32.438553378750335,False
-3.5308970000000004,0.9576887500000004,1.1330634089340514e-06,17.47252066635034,False
-3.5308970000000004,1.0347546500000004,8.372283015823695e-06,12.483838947325118,True
-3.5308970000000004,1.1118205500000005,1.1414961208898345e-06,17.45402553655285,False
-3.5308970000000004,1.1888864500000005,1.1830016813619831e-06,17.36493968421442,False
-3.5308970000000004,1.2659523500000005,9.537326576776412e-06,12.158860017526733,True
-3.5308970000000004,1.3430182500000005,1.066478674249246e-05,11.880157212079906,True
-3.5308970000000004,1.4200841500000005,9.534517993385216e-06,12.159594666816638,True
-3.5308970000000004,1.4971500500000006,1.159454241299101e-06,17.415089845876285,False
-3.5308970000000004,1.5742159500000006,1.1248257129173691e-08,28.97757607611786,False
-3.5308970000000004,1.6512818500000006,6.508084766380752e-08,24.59897108805531,False
-3.5308970000000004,1.7283477500000006,8.401447622668967e-06,12.475165088791236,True
-3.5308970000000004,1.8054136500000006,6.188674128523885e-05,7.494215144176787,True
-3.5308970000000004,1.8824795500000007,8.375091599214889e-06,12.483002331591441,True
-3.5308970000000004,1.9595454500000007,2.3575287191659068e-08,27.131800755395062,False
-3.5308970000000004,2.0366113500000007,2.3561363627270515e-08,27.133274347052172,False
-3.5308970000000004,2.1136772500000007,4.431414386334474e-08,25.55761135018022,False
-3.5308970000000004,2.1907431500000007,8.37789322082389e-06,12.482168069090571,True
-3.5308970000000004,2.2678090500000008,6.299623636876343e-05,7.4498931799406405,True
-3.5308970000000004,2.344874950000001,1.6747346767909808e-05,10.75448085545078,True
-3.5308970000000004,2.421940850000001,2.2896881814953733e-06,15.71777653563224,True
-3.5308970000000004,2.499006750000001,9.51094966797575e-06,12.165768042995062,True
-3.5308970000000004,2.576072650000001,1.063839591012741e-05,11.886337294323518,True
-3.5308970000000004,2.653138550000001,9.508141084584553e-06,12.16650473000358,True
-3.5308970000000004,2.730204450000001,1.135878954107442e-06,17.46633018108533,False
-3.5308970000000004,2.807270350000001,5.617166782392568e-09,30.70960948228901,False
-3.5308970000000004,2.884336250000001,2.075278023607423e-08,27.449875807950338,False
-3.5308970000000004,2.961402150000001,2.808583391196284e-09,32.438553378750335,False
-3.5308970000000004,3.038468050000001,6.961782194276772e-12,47.404586091150335,False
-3.5308970000000004,3.115533950000001,0.0,,False
-3.5308970000000004,3.192599850000001,0.0,,False
-3.5308970000000004,3.269665750000001,0.0,,False
-3.5308970000000004,3.346731650000001,0.0,,False
-3.5308970000000004,3.423797550000001,0.0,,False
-3.5308970000000004,3.5008634500000007,0.0,,False
-3.5308970000000004,3.5779293500000002,0.0,,False
-3.5308970000000004,3.6549952500000003,0.0,,False
